policy,dataset,comparison,mean_paired_delta_pp,backbone_wins,backbone_losses
per_split_validation,roman-empire,GNNM-ENS,1.122264713048935,6,2
per_split_validation,roman-empire,GNNM-BASE,2.047079131007194,7,1
per_split_validation,roman-empire,ENS-BASE,0.9248144179582595,8,0
per_split_validation,amazon-ratings,GNNM-ENS,0.0883958488702774,5,3
per_split_validation,amazon-ratings,GNNM-BASE,1.23795535415411,7,1
per_split_validation,amazon-ratings,ENS-BASE,1.1495595052838326,8,0
per_split_validation,minesweeper,GNNM-ENS,-0.33918875000000054,3,5
per_split_validation,minesweeper,GNNM-BASE,-0.04967124999999842,5,3
per_split_validation,minesweeper,ENS-BASE,0.28951750000000215,8,0
per_split_validation,questions,GNNM-ENS,1.010055349808016,8,0
per_split_validation,questions,GNNM-BASE,1.509078401741824,8,0
per_split_validation,questions,ENS-BASE,0.49902305193380797,8,0
per_split_validation,tolokers,GNNM-ENS,0.17005678783392789,6,2
per_split_validation,tolokers,GNNM-BASE,0.5316115327157029,6,2
per_split_validation,tolokers,ENS-BASE,0.3615547448817751,7,1
mean_validation,roman-empire,GNNM-ENS,1.1008649319410324,6,2
mean_validation,roman-empire,GNNM-BASE,2.02612042427063,7,1
mean_validation,roman-empire,ENS-BASE,0.9252554923295974,8,0
mean_validation,amazon-ratings,GNNM-ENS,0.08492562919855118,6,2
mean_validation,amazon-ratings,GNNM-BASE,1.2457128986716268,7,1
mean_validation,amazon-ratings,ENS-BASE,1.1607872694730759,8,0
mean_validation,minesweeper,GNNM-ENS,-0.4055412500000002,3,5
mean_validation,minesweeper,GNNM-BASE,-0.0980324999999984,5,3
mean_validation,minesweeper,ENS-BASE,0.3075087500000018,8,0
mean_validation,questions,GNNM-ENS,1.0116370821202056,8,0
mean_validation,questions,GNNM-BASE,1.5703112553652774,8,0
mean_validation,questions,ENS-BASE,0.5586741732450723,8,0
mean_validation,tolokers,GNNM-ENS,0.1647558048580762,6,2
mean_validation,tolokers,GNNM-BASE,0.5523422609122387,6,2
mean_validation,tolokers,ENS-BASE,0.3875864560541626,8,0
split0_validation,roman-empire,GNNM-ENS,1.0717438906431196,6,2
split0_validation,roman-empire,GNNM-BASE,2.150546833872795,7,1
split0_validation,roman-empire,ENS-BASE,1.0788029432296753,8,0
split0_validation,amazon-ratings,GNNM-ENS,-0.07431000471115111,5,3
split0_validation,amazon-ratings,GNNM-BASE,1.0676956549286842,7,1
split0_validation,amazon-ratings,ENS-BASE,1.1420056596398351,8,0
split0_validation,minesweeper,GNNM-ENS,-0.3515487500000003,3,5
split0_validation,minesweeper,GNNM-BASE,-0.05433374999999868,6,2
split0_validation,minesweeper,ENS-BASE,0.29721500000000156,8,0
split0_validation,questions,GNNM-ENS,1.0053064009290964,8,0
split0_validation,questions,GNNM-BASE,1.5234891793982583,8,0
split0_validation,questions,ENS-BASE,0.5181827784691617,8,0
split0_validation,tolokers,GNNM-ENS,0.008576128775121952,5,3
split0_validation,tolokers,GNNM-BASE,0.40028670128975563,5,3
split0_validation,tolokers,ENS-BASE,0.39171057251463376,8,0
