dataset,model,variant,split,m,k_correct_members,nodes,ensemble_correct_nodes,ensemble_wrong_nodes
roman-empire,SAGE,gnnm,0,4,0,441,1,440
roman-empire,SAGE,gnnm,0,4,1,128,21,107
roman-empire,SAGE,gnnm,0,4,2,137,80,57
roman-empire,SAGE,gnnm,0,4,3,225,219,6
roman-empire,SAGE,gnnm,0,4,4,4735,4735,0
roman-empire,SAGE,independent_projectors,0,4,0,505,0,505
roman-empire,SAGE,independent_projectors,0,4,1,194,19,175
roman-empire,SAGE,independent_projectors,0,4,2,189,121,68
roman-empire,SAGE,independent_projectors,0,4,3,268,259,9
roman-empire,SAGE,independent_projectors,0,4,4,4510,4510,0
roman-empire,SAGE,heads_only,0,4,0,867,0,867
roman-empire,SAGE,heads_only,0,4,1,14,1,13
roman-empire,SAGE,heads_only,0,4,2,10,4,6
roman-empire,SAGE,heads_only,0,4,3,15,15,0
roman-empire,SAGE,heads_only,0,4,4,4760,4760,0
roman-empire,SAGE,input_only,0,4,0,413,1,412
roman-empire,SAGE,input_only,0,4,1,137,15,122
roman-empire,SAGE,input_only,0,4,2,143,84,59
roman-empire,SAGE,input_only,0,4,3,235,234,1
roman-empire,SAGE,input_only,0,4,4,4738,4738,0
roman-empire,SAGE,output_only,0,4,0,874,0,874
roman-empire,SAGE,output_only,0,4,1,3,0,3
roman-empire,SAGE,output_only,0,4,2,0,0,0
roman-empire,SAGE,output_only,0,4,3,1,1,0
roman-empire,SAGE,output_only,0,4,4,4788,4788,0
roman-empire,SAGE,base,0,1,0,796,0,796
roman-empire,SAGE,base,0,1,1,4870,4870,0
roman-empire,SAGE,gnnm_m1,0,1,0,885,0,885
roman-empire,SAGE,gnnm_m1,0,1,1,4781,4781,0
roman-empire,SAGE,independent_projectors,1,4,0,466,0,466
roman-empire,SAGE,independent_projectors,1,4,1,184,20,164
roman-empire,SAGE,independent_projectors,1,4,2,195,128,67
roman-empire,SAGE,independent_projectors,1,4,3,262,259,3
roman-empire,SAGE,independent_projectors,1,4,4,4559,4559,0
roman-empire,SAGE,heads_only,1,4,0,762,0,762
roman-empire,SAGE,heads_only,1,4,1,17,0,17
roman-empire,SAGE,heads_only,1,4,2,18,7,11
roman-empire,SAGE,heads_only,1,4,3,23,20,3
roman-empire,SAGE,heads_only,1,4,4,4846,4846,0
roman-empire,SAGE,input_only,1,4,0,404,0,404
roman-empire,SAGE,input_only,1,4,1,133,16,117
roman-empire,SAGE,input_only,1,4,2,136,80,56
roman-empire,SAGE,input_only,1,4,3,231,228,3
roman-empire,SAGE,input_only,1,4,4,4762,4762,0
roman-empire,SAGE,output_only,1,4,0,819,0,819
roman-empire,SAGE,output_only,1,4,1,0,0,0
roman-empire,SAGE,output_only,1,4,2,0,0,0
roman-empire,SAGE,output_only,1,4,3,0,0,0
roman-empire,SAGE,output_only,1,4,4,4847,4847,0
roman-empire,SAGE,base,1,1,0,778,0,778
roman-empire,SAGE,base,1,1,1,4888,4888,0
roman-empire,SAGE,gnnm_m1,1,1,0,791,0,791
roman-empire,SAGE,gnnm_m1,1,1,1,4875,4875,0
roman-empire,SAGE,gnnm,1,4,0,377,0,377
roman-empire,SAGE,gnnm,1,4,1,143,8,135
roman-empire,SAGE,gnnm,1,4,2,142,91,51
roman-empire,SAGE,gnnm,1,4,3,229,222,7
roman-empire,SAGE,gnnm,1,4,4,4775,4775,0
roman-empire,SAGE,independent_projectors,2,4,0,507,2,505
roman-empire,SAGE,independent_projectors,2,4,1,180,17,163
roman-empire,SAGE,independent_projectors,2,4,2,184,110,74
roman-empire,SAGE,independent_projectors,2,4,3,278,272,6
roman-empire,SAGE,independent_projectors,2,4,4,4517,4517,0
roman-empire,SAGE,heads_only,2,4,0,854,0,854
roman-empire,SAGE,heads_only,2,4,1,14,0,14
roman-empire,SAGE,heads_only,2,4,2,15,11,4
roman-empire,SAGE,heads_only,2,4,3,20,18,2
roman-empire,SAGE,heads_only,2,4,4,4763,4763,0
roman-empire,SAGE,input_only,2,4,0,433,1,432
roman-empire,SAGE,input_only,2,4,1,146,11,135
roman-empire,SAGE,input_only,2,4,2,142,83,59
roman-empire,SAGE,input_only,2,4,3,208,205,3
roman-empire,SAGE,input_only,2,4,4,4737,4737,0
roman-empire,SAGE,output_only,2,4,0,872,0,872
roman-empire,SAGE,output_only,2,4,1,0,0,0
roman-empire,SAGE,output_only,2,4,2,0,0,0
roman-empire,SAGE,output_only,2,4,3,0,0,0
roman-empire,SAGE,output_only,2,4,4,4794,4794,0
roman-empire,SAGE,base,2,1,0,761,0,761
roman-empire,SAGE,base,2,1,1,4905,4905,0
roman-empire,SAGE,gnnm_m1,2,1,0,832,0,832
roman-empire,SAGE,gnnm_m1,2,1,1,4834,4834,0
roman-empire,SAGE,gnnm,2,4,0,388,0,388
roman-empire,SAGE,gnnm,2,4,1,147,18,129
roman-empire,SAGE,gnnm,2,4,2,158,99,59
roman-empire,SAGE,gnnm,2,4,3,181,174,7
roman-empire,SAGE,gnnm,2,4,4,4792,4792,0
roman-empire,SAGE,independent_projectors,3,4,0,467,1,466
roman-empire,SAGE,independent_projectors,3,4,1,188,18,170
roman-empire,SAGE,independent_projectors,3,4,2,203,119,84
roman-empire,SAGE,independent_projectors,3,4,3,265,259,6
roman-empire,SAGE,independent_projectors,3,4,4,4543,4543,0
roman-empire,SAGE,heads_only,3,4,0,839,0,839
roman-empire,SAGE,heads_only,3,4,1,11,1,10
roman-empire,SAGE,heads_only,3,4,2,13,9,4
roman-empire,SAGE,heads_only,3,4,3,22,22,0
roman-empire,SAGE,heads_only,3,4,4,4781,4781,0
roman-empire,SAGE,input_only,3,4,0,408,0,408
roman-empire,SAGE,input_only,3,4,1,133,13,120
roman-empire,SAGE,input_only,3,4,2,136,77,59
roman-empire,SAGE,input_only,3,4,3,196,189,7
roman-empire,SAGE,input_only,3,4,4,4793,4793,0
roman-empire,SAGE,output_only,3,4,0,821,0,821
roman-empire,SAGE,output_only,3,4,1,0,0,0
roman-empire,SAGE,output_only,3,4,2,1,1,0
roman-empire,SAGE,output_only,3,4,3,0,0,0
roman-empire,SAGE,output_only,3,4,4,4844,4844,0
roman-empire,SAGE,base,3,1,0,748,0,748
roman-empire,SAGE,base,3,1,1,4918,4918,0
roman-empire,SAGE,gnnm_m1,3,1,0,825,0,825
roman-empire,SAGE,gnnm_m1,3,1,1,4841,4841,0
roman-empire,SAGE,gnnm,3,4,0,407,1,406
roman-empire,SAGE,gnnm,3,4,1,145,12,133
roman-empire,SAGE,gnnm,3,4,2,127,71,56
